 0.00     13.7661
 0.05     15.8073
 0.10     16.1675
 0.15     14.7113
 0.20     12.9519
 0.25     12.6586
 0.30     14.2298
 0.35     16.3266
 0.40     17.1043
 0.45     15.9091
 0.50     13.8810
 0.55     12.9070
 0.60     13.8886
 0.65     15.9153
 0.70     17.1042
 0.75     16.3344
 0.80     14.2798
 0.85     12.7931
 0.90     13.2051
 0.95     15.1038
 1.00     16.7162
 1.05     16.5405
 1.10     14.7290
 1.15     12.9498
 1.20     12.8546
 1.25     14.5609
 1.30     16.5445
 1.35     17.0409
 1.40     15.6670
 1.45     13.7724
 1.50     13.1973
 1.55     14.5787
 1.60     16.7628
 1.65     17.8631
 1.70     16.9923
 1.75     15.0749
 1.80     13.9945
 1.85     14.8583
